Sample,Species,Host,Country
SRX5400260,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400259,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400258,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400257,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400256,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400255,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400254,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400253,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400252,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400251,BADGER-UK,RESERVOIR,United Kingdom
SRX5400250,BADGER-UK,RESERVOIR,United Kingdom
SRX5400249,BADGER-UK,RESERVOIR,United Kingdom
SRX5400248,BADGER-UK,RESERVOIR,United Kingdom
SRX5400247,BADGER-UK,RESERVOIR,United Kingdom
SRX5400246,BADGER-UK,RESERVOIR,United Kingdom
SRX5400245,BADGER-UK,RESERVOIR,United Kingdom
SRX5400244,BADGER-UK,RESERVOIR,United Kingdom
SRX5400243,BADGER-UK,RESERVOIR,United Kingdom
SRX5400242,BADGER-UK,RESERVOIR,United Kingdom
SRX5400241,BADGER-UK,RESERVOIR,United Kingdom
SRX5400240,BADGER-UK,RESERVOIR,United Kingdom
SRX5400239,BADGER-UK,RESERVOIR,United Kingdom
SRX5400238,BADGER-UK,RESERVOIR,United Kingdom
SRX5400237,BADGER-UK,RESERVOIR,United Kingdom
SRX5400236,BADGER-UK,RESERVOIR,United Kingdom
SRX5400235,BADGER-UK,RESERVOIR,United Kingdom
SRX5400234,BADGER-UK,RESERVOIR,United Kingdom
SRX5400233,BADGER-UK,RESERVOIR,United Kingdom
SRX5400232,BADGER-UK,RESERVOIR,United Kingdom
SRX5400231,BADGER-UK,RESERVOIR,United Kingdom
SRX5400230,BADGER-UK,RESERVOIR,United Kingdom
SRX5400229,BADGER-UK,RESERVOIR,United Kingdom
SRX5400228,BADGER-UK,RESERVOIR,United Kingdom
SRX5400227,BADGER-UK,RESERVOIR,United Kingdom
SRX5400226,BADGER-UK,RESERVOIR,United Kingdom
SRX5400225,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400224,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400223,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400222,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400221,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400220,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400219,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400218,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400217,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400216,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400215,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400214,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400213,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400212,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400211,BADGER-UK,RESERVOIR,United Kingdom
SRX5400210,BADGER-UK,RESERVOIR,United Kingdom
SRX5400209,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400208,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400207,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400206,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400205,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400204,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400203,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400202,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400201,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400200,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400199,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400198,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400197,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400196,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400195,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400194,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400193,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400192,BADGER-UK,RESERVOIR,United Kingdom
SRX5400191,BADGER-UK,RESERVOIR,United Kingdom
SRX5400190,BADGER-UK,RESERVOIR,United Kingdom
SRX5400189,BADGER-UK,RESERVOIR,United Kingdom
SRX5400188,BADGER-UK,RESERVOIR,United Kingdom
SRX5400187,BADGER-UK,RESERVOIR,United Kingdom
SRX5400186,BADGER-UK,RESERVOIR,United Kingdom
SRX5400185,BADGER-UK,RESERVOIR,United Kingdom
SRX5400184,BADGER-UK,RESERVOIR,United Kingdom
SRX5400183,BADGER-UK,RESERVOIR,United Kingdom
SRX5400182,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400181,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400180,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400179,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400178,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400177,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400176,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400175,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400174,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400173,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400172,BADGER-UK,RESERVOIR,United Kingdom
SRX5400171,BADGER-UK,RESERVOIR,United Kingdom
SRX5400170,BADGER-UK,RESERVOIR,United Kingdom
SRX5400169,BADGER-UK,RESERVOIR,United Kingdom
SRX5400168,BADGER-UK,RESERVOIR,United Kingdom
